professor,variant_names,
Omar S. B. Al-Amoudi,"Al-Amoudi, Omar S. B.",
Pam Hallock Muller,"Muller, Pam Hallock",
Panteleimon Soupios,"Soupios, Panteleimon; Panteleimon, Soupios; Soupios, Pantelis; Pantelis Soupios; Soupios Panteleimon",
Peter Mora,"Prof. Mora, Peter; Peter Prof. Mora",
Konstantinos Plakas,"Konstantinos, Plakas; Plakas, Konstantinos; Plakas Konstantinos",
Gabor Korvin,"Korvin, Gabor; Gabor Korvin; Korvin, Dr. Gabor; Gabor, Korvin; Korvin, Prof. Gabor; Dr. Gabor Korvin; Prof. Gabor Korvin; Korvin Gabor",
R. Hastings-James,"Hastings-James, R.",
Rashid I. Al-Layla,"Al-Layla, Rashid I.",
Reyad Shawabkeh,"Shawabkeh, Reyad",
Ruben Roa-Ureta,"Ruben, Roa-Ureta; Roa-Ureta Ruben",
Robert Goldstein,"Goldstein, Robert",
Robert Stern,"Stern, Robert",
Ronald Anthony Loughland,"Loughland, Ronald Anthony",
Rudy Swennen,"Swennen, Rudy",
Rudy Weijermars,"Weijermars, Rudy",
S. Mahmoud,"Mahmoud, S.",
Saafin Adly,"Adly, Saafin",
Sabyasachi Chattopadhyay,"Chattopadhyay, Sabyasachi",
Ali Sahin,"Sahin, Ali; Ali Sahin; Dr. Ali Sahin; Dr. Ali, Sahin; Sahin Dr. Ali",
Saiful-Islam Saif,"Saif, Saiful-Islam",
Salaheldin M. Elkatatny,"Elkatatny, Salaheldin M.; Elkatatny, Salaheldin; M. Elkatatny, Salaheldin; Salaheldin Elkatatny",
Saleem Ghori,"Ghori, Saleem",
Saleh Al-Dossary,"Al-Dossary, Saleh",
Salih Saner,"Saner, Salih",
SanLinn Ismail Kaka,"Kaka, SanLinn; SanLinn Kaka; Kaka, SanLinn I.; SanLinn, Kaka I.; Kaka, Sanlinn Isma'il; SanLinn Isma'il Kaka; Sanlinn, Isma'il Kaka; Isma'il Kaka, SanLinn; KAKA, SANLINN ISMAIL; Kaka, SannLin Ismail; SannLin Ismail Kaka; Kaka, Sanilin; Sanilin Kaka; SanLinn I. Kaka; Sanlinn Ismail Kaka; Kaka, Ismail; Ismail Kaka; Ismail Ebrahim San Linn Kaka; Kaka, Ismail Ebrahim San Linn; Isma'il Kaka Sanlinn; Kaka I. SanLinn",
Scott Andrew Whattam,"Whattam, Scott Andrew; Whattam, Scott; Scott A. Whattam; Scott Whattam",
